ID,Timepoint,Aquaria,Tank,Species,Treatment,Temperature,TN,TP,Phosphate,Silicate,N+N,Ammonia
25,T2,M-A11,Aquaria,Montipora,Effluent,Ambient,5.7,0.1,0.05,0.4,0.26,0.46
26,T2,M-H11,Aquaria,Montipora,Effluent,Heated,12.95,0.25,0.08,4.51,1.79,0.93
27,T2,P-Dosing,Dosing,Porites,Effluent,Ambient,60.81,4.69,3.57,13.09,11.81,47.92
28,T2,M-Dosing,Dosing,Montipora,Effluent,Ambient,52.1,1.82,1.69,6.06,11.12,27.84
29,T3,P-A11,Aquaria,Porites,Effluent,Ambient,7.66,0.17,0.09,1.22,0.6,0.96
30,T3,M-A11,Aquaria,Montipora,Effluent,Ambient,10.15,0.22,0.08,1.07,0.72,1.06
31,T3,M-Dosing,Dosing,Montipora,Effluent,Ambient,48.17,1.85,1.78,5.77,5.92,31.27
32,T3,P-Dosing,Dosing,Porites,Effluent,Ambient,48.17,1.85,1.78,5.77,5.92,31.27
33,T1,P-A3,Aquaria,Porites,Guano,Ambient,10.1,0.84,0.75,0.95,0.54,0.36
34,T1,P-H3,Aquaria,Porites,Guano,Heated,9.88,0.63,0.53,0.51,0.41,0.49
35,T1,M-A3,Aquaria,Montipora,Guano,Ambient,10.07,0.36,0.19,1.16,0.56,0.78
36,T1,M-H3,Aquaria,Montipora,Guano,Heated,10.15,0.39,0.26,0.8,0.56,0.68
37,T1,P-Dosing,Dosing,Porites,Guano,Ambient,57.27,12.33,12.15,4.9,0.91,37.1
38,T1,M-Dosing,Dosing,Montipora,Guano,Ambient,57.74,7.67,7.63,6.62,1.18,49.23
39,T2,P-A3,Aquaria,Porites,Guano,Ambient,9.68,0.42,0.25,0.28,0.47,0.71
40,T2,P-H3,Aquaria,Porites,Guano,Heated,12.14,0.39,0.18,0.21,0.57,0.83
41,T2,M-A3,Aquaria,Montipora,Guano,Ambient,9.59,0.73,0.62,0.65,0.23,0.63
42,T2,M-H3,Aquaria,Montipora,Guano,Heated,14.35,2.39,2.26,2.87,0.43,0.96
43,T2,P-Dosing,Dosing,Porites,Guano,Ambient,59.52,9.2,9.16,8.09,1.86,52.93
44,T2,M-Dosing,Dosing,Montipora,Guano,Ambient,59.34,7.56,7.27,2.05,1.93,38.05
45,T3,P-A3,Aquaria,Porites,Guano,Ambient,10.58,0.46,0.27,1.18,0.4,1.07
46,T3,M-A3,Aquaria,Montipora,Guano,Ambient,12.96,0.49,0.27,1.22,0.59,1.07
47,T3,M-Dosing,Dosing,Montipora,Guano,Ambient,62.81,6.04,5.96,5.21,1.66,59.16
48,T3,P-Dosing,Dosing,Porites,Guano,Ambient,62.81,6.04,5.96,5.21,1.66,59.16
49,T1,P-A7,Aquaria,Porites,Inorganic,Ambient,6.6,0.11,0.03,0.69,0.33,0.61
50,T1,P-H7,Aquaria,Porites,Inorganic,Heated,11.11,0.22,0.06,1.39,0.63,0.53
51,T1,M-A7,Aquaria,Montipora,Inorganic,Ambient,10.02,0.15,0.03,1.12,0.6,1.17
52,T1,M-H7,Aquaria,Montipora,Inorganic,Heated,7.05,0.16,0.03,0.65,0.39,0.6
53,T1,P-Dosing,Dosing,Porites,Inorganic,Ambient,31.79,0.78,0.69,7.31,1.09,23.44
54,T1,M-Dosing,Dosing,Montipora,Inorganic,Ambient,24.37,0.84,0.81,4.22,0.54,20.54
55,T2,P-A7,Aquaria,Porites,Inorganic,Ambient,9.38,0.18,0.03,0.23,0.53,0.78
56,T2,P-H7,Aquaria,Porites,Inorganic,Heated,12.74,0.12,0.008,0.7,0.37,0.63
57,T2,M-A7,Aquaria,Montipora,Inorganic,Ambient,8.47,0.15,0.03,0.87,0.25,0.75
58,T2,M-H7,Aquaria,Montipora,Inorganic,Heated,10.31,0.21,0.06,5.17,0.39,0.76
59,T2,P-Dosing,Dosing,Porites,Inorganic,Ambient,37.64,1.12,0.91,4.03,0.009,18.67
60,T2,M-Dosing,Dosing,Montipora,Inorganic,Ambient,29.94,0.77,0.49,4.19,2,18.27
61,T3,P-A7,Aquaria,Porites,Inorganic,Ambient,7.58,0.15,0.06,0.67,0.34,1.18
62,T3,M-A7,Aquaria,Montipora,Inorganic,Ambient,11.23,0.23,0.05,1.52,0.57,0.85
63,T3,M-Dosing,Dosing,Montipora,Inorganic,Ambient,29.84,0.7,0.61,3.91,1.48,19.46
64,T3,P-Dosing,Dosing,Porites,Inorganic,Ambient,29.84,0.7,0.61,3.91,1.48,19.46
